rawText,ingredientMasterId
"비피도박테리움 비피둠 비피더스균{BIFIDOBACTERIUM BIFIDUM의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
셀레늄함유건조효모,336
천마 등 복합추출물(HX106)(기능성원료인정제2015-17호),479
크랜베리 추출물(Cran-Max)(기능성원료인정제2010-39호),499
3종 혼합유산균,541
"Bifidobacterium bifidum분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
"Bifidobacterium longum분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
"Lactobacillus rhamnosus분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
가르시니아캄보지아껍질추출물,93
건조효모&#40,306
구아검가수분해물(고시형),125
구아바잎추출물 등 복합물(기능성원료인정제2009-16호),129
까마귀쪽나무 열매 주정추출물(기능성원료인정제2015-23호),143
대두단백(고시형),163
바나바추출물분말,260
배초향 추출물(Agatri)(기능성원료인정제2020-4호),272
비타민B2인산에스테르나트륨,303
"비피도박테리움 브레브 비피더스균{BIFIDOBACTERIUM BREVE의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
수국잎열수추출물(기능성원료인정제2020-7호),343
"엽산분말(가루, 과립)",395
작약추출물등복합물(HT074)(기능성원료인정제2020-3호),445
정제수,90
제이인산칼륨(고시형),490
차전자피분말,471
크릴오일(SuperbaTM Boost)(제2023-13호),502
"키토산분말(가루, 과립)",506
탄산마그네슘(고시형),226
프로바이오틱스,541
호로파종자추출물(TestofenⓇ)(기능성원료인정제2019-15호),578
황산마그네슘,226
D-α-토코페롤(비타민E 67%),307
L-아스코르빈산나트륨,305
"Lactobacillus plantarum분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
Latilactobacillus curvatus LB-P9 프로바이오틱스(제2025-5호),67
가다랑어 엘라스틴 펩타이드(VGPG Elastin®)(제2022-38호),92
가르시니아캄보지아추출물분말,101
구연산칼륨(고시형),490
글루코사민염산염,139
글루코사민염산염분말,139
달맞이 꽃 종자(고시형),109
댕댕이나무열매(허니베리)추출분말(제2019-19호),180
레몬 밤 추출물 혼합분말,204
로즈마리자몽추출복합물(Nutroxsun)(기능성원료인정제2019-25호),209
"비타민 B1염산염분말(가루, 과립)",301
비타민 D2(고시형),306
"비타민 E 혼합제제분말(가루, 과립)(DL-알파토코페릴아세테이트 50%, 변성전분 24.5%, 말토덱스트린 24.5%, 이산화규소 1%)",307
쌀단백분말,163
아스코르빈산칼슘,305
"옥타코사놀분말(가루, 과립)",408
유산균발효다시마추출물(기능성원료인정제2011-22호),424
인삼농축액(농축물),435
자일로올리고당(기능성원료인정제2009-80호),442
차즈기추출물(기능성원료인정제2019-17호),472
초유단백분말,163
클로렐라원말,505
포도과피 효소발효추출물(KL-GEFE)(기능성원료인정제2019-27호),526
폴리덱스트로스,533
"프로폴리스추출물분말(가루, 과립)",550
헤모힘 당귀등 혼합추출물(기능성원료인정제2006-17호),573
회화나무열매추출물,597
회화나무열매추출분말,597
"Bifidobacterium animalis spp. lactis분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
"Bifidobacterium breve분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
L.Sakei Probio 65동결건조,65
"Lactobacillus casei분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
감잎주정추출분말(제2022-18호),110
건조효모(I),90
"락토바실루스 카제이 유산균{LACTOBACILLUS CASEI의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
비타민 D 혼합,306
"비타민 D3 혼합제제분말(가루, 과립)(비타민D3 0.25, 아라비아검38, 수크로오스38, 옥수수전분15.55, 정제가공유지7.5, 이산화규소0.5, DL-알파토코페롤0.2)",307
비타민D&#41,306
비타민E혼합제제DL-알파-토코페릴초산염,307
솔잎증류농축액(기능성원료인정제2012-30호),339
"스트렙토코쿠스 써모필루스 유산균{STREPTOCOCCUS THERMOPHILUS의 생균으로 50,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
우슬 등 복합물(HL-Joint100)(기능성원료인정제2018-13호),416
천마추출물(제2024-19호),480
"탄산칼슘분말(가루, 과립)",491
파비플로라생강뿌리추출물(제2024-14호),520
"홍삼농축액(농축물)(홍삼근70%, 홍미삼30%)",588
황산마그네슘(고시형),226
Bifidobacteriuminfantis(고시형),541
D-α-토코페롤(대두),307
L.sakei Probio65(기능성원료인정제2013-17호),65
Lactobacillus gasseri,541
Lactobacillus plantarum동결건조,541
MS-10 엉겅퀴등복합추출물(기능성원료인정제2020-6호),72
d-α-토코페릴아세테이트,307
"가수분해유청단백분말(가루, 과립)",163
건조효모(셀렌),336
곰피추출물(기능성원료인정제2018-1호),119
구아바잎추출분말,127
다래추출물(기능성원료인정제2009-58호),385
덱스트린,90
두류가공품,163
들깨추출유,560
"디메틸설폰(Methyl sulfonylmethane, MSM)분말(가루, 과립)",389
락추로스 파우더(Lactulose Powder)(기능성원료인정제2009-40호),201
루바브뿌리추출물(ERr731Ⓡ)(제2024-17호),213
마카 젤라틴화 분말(기능성원료인정제2011-7호),233
"비타민 A 혼합제제분말(가루, 과립)(레티닐아세트산염 11.5%, 말토덱스트린 47%, 옥수수전분 20%, 아라비아검 20%, DL-알파토코페롤 1.5%)",307
비타민E[비타민E(D-α-토코페롤)(비타민E-67%)],307
"비피도박테리움 인판티스 비피더스균{BIFIDOBACTERIUM INFANTIS의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
석류추출물,332
"셀레늄함유건조효모분말(가루, 과립)",336
소연골추출분말,245
식물성DHA유지,25
아티초크 추출물(기능성원료인정제2010-8호),379
옥수수배아추출물(기능성원료인정제2014-8호),405
올리브잎주정추출물(기능성원료인정제2014-9호),409
유산균혼합배양액,541
유청분말(비소성),90
이눌린치커리추출물분말(고시형),432
클로렐라,505
키토올리고당분말(고시형),508
풋사과 농축분말(APPLOZIN®)(제2024-4호),537
프로폴리스,550
홍삼농축액(6년근),586
AP 콜라겐 효소분해 펩타이드(기능성원료인정제2010-25호),1
"Bifidobacterium bifidum분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
"Bifidobacterium longum분말(가루, 과립)(BIFIDOBACTERIUM LONGUM의 생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
L. plantarum IM76과 B.longum IM55 복합물(NVP1703)(기능성인정제2019-28호),49
Lactobacillus casei동결건조,541
"Lactobacillus casei분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
"Lactobacillus plantarum분말(가루, 과립)",541
가자추출물(Ayuflex®)(기능성원료인정제2022-12호),105
감마리놀렌산(고시형),109
농축유단백,163
다래추출물(기능성원료인정제2009-18호),161
루테인추출물,214
밀배유추출물(제2025-10호),254
바나바잎(고시형),260
베타카로틴,277
베타카로틴혼합,277
병풀추출분말(기능성원료인정제2021-24호),278
"분리유청단백분말(가루, 과립)",163
"비타민 B12 혼합제제분말(가루, 과립)(비타민B12 1%, 제이인산칼슘 99%)",302
비타민 B6 염산염(비타민B6 82%),304
비타민 D 혼합제제분말,306
비타민B1혼합제제,301
비타민E(D-α-토코페롤),307
산화아연(아연 80%),378
쌀가루,249
쑥부쟁이추출분말(기능성원료인정제2021-13호),366
옥타코사놀 함유 유지,408
지방산복합물 FAC(Fatty Acid Complex)(기능성원료인정제2012-16호),464
청호추출분말(리베라템)(제2021-19호),484
콜레우스포스콜리추출물,496
크레아틴,500
키토산,506
키토올리고당(고시형),508
키토올리고당(기능성원료인정제2018-10호),508
피니톨(기능성원료인정제2005-15호),551
피롤로퀴놀린퀴논이나트륨염(NOVAQ®)(제2025-56호),553
필수지방산(고시형),560
Lactobacillus acidophilus동결건조,541
"Lactobacillus acidophilus분말(가루, 과립)(LACTOBACILLUS ACIDOPHILUS의 생균으로 100, 000, 000, 000개/g 이상, 보호제 및 희석제 적량)",544
Lactobacillus rhamnosus동결건조,541
"Lactobacillus rhamnosus분말(가루, 과립)(LACTOBACILLUS RHAMNOSUS의 생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
"MSM분말(가루, 과립)",73
Streptococcus thermophilus동결건조,541
